rpid,点赞数量,用户,等级,评论内容
168452641312,20,要困告173,3,没车，这要是不得站起来踩油门
167143399776,12,知心丨哥哥,5,你这个提速后面有车又可以换新车
167118402784,12,相思都沉默,5,今天去提车 也是1.5尊贵 心里芒荒 不敢上路 找朋友给提回来
167152145760,8,恩祈,6,在高速上面开高级智能辅助驾驶有车道保持，爽歪歪[打call][打call][打call]
167453580896,7,纯粹中国人,4,胆子但是挺大，19年拿驾照20年年底买车没一段时间就开上高速，开快得很。现在快3万公里，最快时候深夜开到180
168310452592,6,张大大爱情,5,提车回家跑一百公里呢，以前没咋滴开车出收费站手指头都僵硬[笑哭]
167355453616,4,新月阁主,5,如果6000外观包能够选择不要20寸轮毂就好，比起来19寸感觉是弊大于利，噪音更大，换台成本多50%差不多。
167182000944,4,阿卡4106,3,进主路提速知道么
167150117264,3,惹毛一驼子,4,汇进主路，速度提起来啊！！！
167970817696,2,请离远些谢谢,3,没车最爽！不过星越l还没上过🛣️[笑哭]
167234401744,2,bili_73995773944,4,新手多去车少限速80快速路跑跑，适当跑到90，跑几次上高速就敢提速。
167122467616,2,Opera2Go,6,提速这么慢嘛
171652975600,1,Luuuuuuuuuky,6,快换 证，没摸过几次，提车让销售开回来[呲牙] 在端午节郊区停车场恁是顺时针逆时针转悠半小时才敢到封路辅路行驶，又瞎练二十分钟就跑到主路练车车，车少停车场其实对练转向很好，到主路就是看标识，看后视镜，注意避险，转向练机会还少些，各有个练习重点，算是专项练习。别怕，把车和环境分成两部分，依次叠加元素，前面练熟再➕难度，一个人练就是要看大量视频。
170893815040,1,giao梁桑,4,踩油门，踩油门啊
170156836000,1,你这瓜保熟么_,5,砸到提速快一点吧[脸红]一般匝道口就开始加速，还在匝道上就60，这点油不要省
170147615440,1,也不知道整啥名儿,3,一路高级辅助驾驶开回家，300多公里，很轻松
170080524912,1,烤面筋呦,4,有车友群吗
170071167856,1,家毛毛最萌,5,车友
169475830704,1,熏俊誉,5,慢慢来，努力成为老司机。加油
169457101152,1,三里笙,6,没车可以撒花似开  140打底
171767107616,1,三枪喵喵喵喵喵喵,6,同博越L路过
171655638368,1,犇淼焱鑫,4,阿婆主，这车到底咋样？ 准备入手1.5尊贵  给点中肯建议
171578805824,2,磕盐bug,5,噪音控制怎么样啊？
171692812944,1,奶茶要半糖_,6,你好，吉利，切换运动模式（2.0T旗舰路过……）
171585625648,1,真猪の奶茶,5,全程看车外有什么好看[吃瓜]
171579112576,1,天际航行,6,胎噪风燥是不是很大？

